"","pf_rol","pf_ss","pf_movement","pf_religion","pf_association","pf_expression","pf_identity","ef_government","ef_legal","ef_money","ef_trade","ef_regulation"
"Pakistan",-0.982402810207595,-1.28403160338012,-0.966638955069109,-2.01413904569092,0.759216077021937,-0.372092160784393,-1.04437509174081,1.10481110219084,-1.14274917648757,-1.18037427773064,-1.00970282629423,-0.704596686152145
"Panama",-0.442607123954384,0.449101839020724,0.847208659469119,0.542796158548252,0.567824300931658,0.37798017212221,0.735991375240531,0.71837839816707,0.0178278612257174,1.04088844714892,1.42269302661511,-0.110363669528952
"Pap. New Guinea",-0.697083592257494,-0.0823114645731011,0.847208659469119,0.380426719589647,0.0912391860735289,0.56567890268093,0.169511135746468,-0.152319813609151,-0.717423394374222,-1.34858328573039,0.150418097960281,0.246489913151189
"Paraguay",-0.61271947669837,-0.165827409189452,0.242592787835453,0.43213952320325,0.1850407487511,0.427644948821,0.169511135746468,1.38914461797284,-0.896347507094616,0.744494462738892,0.22317100695126,-0.846452201293306
"Peru",-0.240104651590092,0.122092853720383,0.847208659469119,0.462597488492201,0.759216077021937,0.318933685201733,0.776454249490107,0.405126727105695,-0.292880019953722,1.04642286431808,1.02372369627105,0.458773023370278
"Philippines",-1.02438899627107,-0.862948773310111,0.242592787835453,0.619488876348403,0.376432524841379,0.318372627932334,-0.235117606749291,1.64574665524378,-0.610929161802184,0.844661531362021,0.092446828552261,0.343332095799652
"Poland",0.781906788480522,1.17439327559262,0.847208659469119,-0.649446916651847,0.759216077021937,0.574881166024236,0.735991375240531,-0.701605206257115,0.224844235930608,1.005907717633,0.758719082096531,0.553543251972395
"Portugal",1.26179001114655,1.29487370570407,0.847208659469119,1.1725529312423,0.950607853112215,1.15646422453357,0.735991375240531,-0.672562497077094,1.15156518803305,0.793283635254254,1.15119337725827,0.163454360735756
"Qatar",0.882103531023692,0.343669753317858,-1.57125482670277,-1.62870335902691,-1.72887701215169,-0.448410544094811,-2.25826131922809,0.0443807639769672,0.666163965812788,0.312988726673952,0.534327256121554,1.28255812414491
"Romania",0.748562024952914,1.23749419521871,0.847208659469119,0.256622760770599,1.14199962920249,0.810459113673093,0.735991375240531,0.285902631450095,0.538955160890415,0.786569457254684,1.20629616456581,0.738539385135317
